Feature,Importance
Return_5d,0.1775932872786455
Return_1d,0.13470525467136715
HL_spread_pct,0.1163769058837485
MACD,0.10370813138167953
Return_10d,0.09251052786360546
MACD_signal,0.07307506415895067
Volume,0.05110257654210844
MACD_hist,0.04654154897776497
BB_width,0.03776077907158218
Low,0.0377455485844313
Dist_MA50_pct,0.03717978892202259
OC_change_pct,0.03091641244609131
High,0.030498155047211775
Return_2d,0.03028601917079067
Dist_MA20_pct,0.0
Volume_change,0.0
RSI_14,0.0
Close,0.0
Close_lag_5,0.0
Close_lag_3,0.0
Close_lag_2,0.0
Close_lag_1,0.0
Quarter,0.0
Day_of_Week,0.0
Month,0.0
Year,0.0
Volatility_20,0.0
Daily_Return,0.0
Open,0.0
Dist_MA200_pct,0.0
