Feature,Coefficient
Close,26.637884096794167
Close_lag_2,7.72195961825476
Close_lag_1,-7.063709925004068
High,-4.651480748624338
Low,1.893621314412785
Open,1.2878635138289691
Close_lag_3,-0.6409591626895327
Return_lag_1,0.3336054296957752
MA_20,0.28516962757434205
Month,-0.18399604321166682
Quarter,0.18220614510541638
MA_50,0.13559137818781863
Volatility_20,0.0850267808384758
Daily_Return,0.05414267550879893
Volume_lag_1,-0.025827681411064084
Volume,0.022240889824933996
Day_of_Week,-0.01571745163147372
