Feature,Importance
BB_width,0.063341411419439
OC_change_pct,0.05285378497060455
MACD_signal,0.05246087826595685
Return_2d,0.0509844035063405
Return_10d,0.0481301861768767
Dist_MA200_pct,0.04770479078914097
Return_5d,0.047081683400900104
Volume,0.04529794639414588
MACD,0.04491367889600256
Dist_MA50_pct,0.04344728122941344
HL_spread_pct,0.043093286235490524
MACD_hist,0.04078414908338021
Volatility_20,0.03811940931162409
Dist_MA20_pct,0.0352698575117
Volume_change,0.033093804307495485
Daily_Return,0.031035855311900083
Return_1d,0.03022364774530571
Open,0.02887408670453198
Close,0.02583663286411313
High,0.025337428695489328
Close_lag_1,0.025000873561125684
Low,0.024257620938428263
Close_lag_5,0.02391186520808319
Close_lag_3,0.023807185664660897
Close_lag_2,0.023382464368731457
RSI_14,0.019766402524706506
Month,0.010819800597104497
Day_of_Week,0.008800148218284889
Year,0.007929155006409316
Quarter,0.004440281092614123
